CustomerID,CustomerName,Email,Country,Region,JoinDate,CustomerTier,LifetimeSpend
CUST000001,Customer 1,customer1@email.com,France,West,16/11/2023,Gold,191.65
CUST000002,Customer 2,customer2@email.com,France,South,14/02/2025,Platinum,155.22
CUST000003,Customer 3,customer3@email.com,Canada,South,02/06/2025,Platinum,605.89
CUST000004,Customer 4,customer4@email.com,Japan,Central,31/05/2026,Gold,712.9
CUST000005,Customer 5,customer5@email.com,USA,West,24/04/2023,Gold,116.05
CUST000006,Customer 6,customer6@email.com,USA,Central,03/02/2020,Platinum,1476.1
CUST000007,Customer 7,customer7@email.com,Germany,Central,18/03/2023,Gold,126.69
CUST000008,Customer 8,customer8@email.com,Germany,Central,16/06/2022,Gold,489.68
CUST000009,Customer 9,customer9@email.com,Canada,North,14/07/2021,Gold,717.32
CUST000010,Customer 10,customer10@email.com,USA,Central,10/12/2024,Gold,1123.85
CUST000011,Customer 11,customer11@email.com,Canada,East,22/06/2021,Gold,726.03
CUST000012,Customer 12,customer12@email.com,UK,South,28/08/2024,Silver,909.06
CUST000013,Customer 13,customer13@email.com,Japan,Central,18/01/2026,Gold,307.34
CUST000014,Customer 14,customer14@email.com,France,West,04/11/2021,Gold,943.23
CUST000015,Customer 15,customer15@email.com,Canada,West,19/10/2023,Bronze,141.75
CUST000016,Customer 16,customer16@email.com,Germany,West,30/07/2021,Gold,1226.03
CUST000017,Customer 17,customer17@email.com,Australia,North,04/01/2021,Gold,496.59
CUST000018,Customer 18,customer18@email.com,Canada,West,06/01/2026,Gold,949.95
CUST000019,Customer 19,customer19@email.com,Australia,East,09/12/2022,Bronze,401.03
CUST000020,Customer 20,customer20@email.com,India,North,15/08/2022,Gold,615.82
CUST000021,Customer 21,customer21@email.com,Germany,North,03/11/2026,Platinum,473.7
CUST000022,Customer 22,customer22@email.com,Australia,North,22/05/2023,Silver,757.62
CUST000023,Customer 23,customer23@email.com,USA,East,04/07/2020,Platinum,142.58
CUST000024,Customer 24,customer24@email.com,Canada,South,20/04/2021,Silver,131.13
CUST000025,Customer 25,customer25@email.com,India,East,10/05/2024,Platinum,241.91
CUST000026,Customer 26,customer26@email.com,UK,West,02/08/2026,Bronze,186.91
CUST000027,Customer 27,customer27@email.com,Australia,East,27/06/2025,Bronze,1127.02
CUST000028,Customer 28,customer28@email.com,Germany,West,26/02/2024,Platinum,223.73
CUST000029,Customer 29,customer29@email.com,Japan,North,25/08/2022,Gold,1962.05
CUST000030,Customer 30,customer30@email.com,Japan,North,08/02/2026,Platinum,305.41
CUST000031,Customer 31,customer31@email.com,Germany,North,04/02/2023,Platinum,200.52
CUST000032,Customer 32,customer32@email.com,Germany,Central,10/01/2021,Bronze,879.61
CUST000033,Customer 33,customer33@email.com,Japan,South,26/07/2020,Silver,637.51
CUST000034,Customer 34,customer34@email.com,Germany,North,01/05/2026,Silver,444.77
CUST000035,Customer 35,customer35@email.com,Germany,South,29/07/2026,Gold,505.25
CUST000036,Customer 36,customer36@email.com,USA,East,27/08/2021,Silver,735.06
CUST000037,Customer 37,customer37@email.com,France,South,16/06/2021,Bronze,229.68
CUST000038,Customer 38,customer38@email.com,UK,North,15/04/2020,Gold,2904.32
CUST000039,Customer 39,customer39@email.com,Japan,North,01/09/2022,Silver,1940.32
CUST000040,Customer 40,customer40@email.com,USA,South,22/12/2022,Platinum,625.38
CUST000041,Customer 41,customer41@email.com,Canada,North,24/11/2025,Platinum,211.29
CUST000042,Customer 42,customer42@email.com,Japan,Central,10/01/2025,Bronze,670.07
CUST000043,Customer 43,customer43@email.com,Germany,Central,25/01/2025,Bronze,137.47
CUST000044,Customer 44,customer44@email.com,France,West,05/11/2025,Bronze,115.57
CUST000045,Customer 45,customer45@email.com,India,West,06/09/2020,Platinum,248.99
CUST000046,Customer 46,customer46@email.com,India,West,18/03/2021,Bronze,410.53
CUST000047,Customer 47,customer47@email.com,Japan,Central,26/11/2020,Silver,1113.51
CUST000048,Customer 48,customer48@email.com,UK,East,26/09/2020,Gold,749.45
CUST000049,Customer 49,customer49@email.com,France,West,09/04/2024,Platinum,778.77
CUST000050,Customer 50,customer50@email.com,Canada,Central,10/02/2021,Silver,377.12
CUST000051,Customer 51,customer51@email.com,India,South,27/10/2024,Platinum,312.27
CUST000052,Customer 52,customer52@email.com,India,West,20/10/2023,Platinum,331.84
CUST000053,Customer 53,customer53@email.com,Japan,West,24/01/2021,Gold,2297.03
CUST000054,Customer 54,customer54@email.com,Japan,South,10/11/2022,Platinum,120.47
CUST000055,Customer 55,customer55@email.com,Canada,North,01/10/2020,Bronze,1108.82
CUST000056,Customer 56,customer56@email.com,Canada,East,03/11/2024,Silver,532.18
CUST000057,Customer 57,customer57@email.com,USA,Central,28/03/2026,Gold,388.67
CUST000058,Customer 58,customer58@email.com,Australia,East,15/05/2021,Platinum,745.96
CUST000059,Customer 59,customer59@email.com,France,Central,29/07/2020,Gold,433.42
CUST000060,Customer 60,customer60@email.com,Canada,Central,11/12/2023,Silver,1133.45
CUST000061,Customer 61,customer61@email.com,India,South,25/09/2021,Bronze,1254.81
CUST000062,Customer 62,customer62@email.com,Japan,North,05/12/2023,Gold,373.85
CUST000063,Customer 63,customer63@email.com,Germany,West,09/06/2026,Bronze,262.05
CUST000064,Customer 64,customer64@email.com,France,North,30/10/2026,Silver,548.67
CUST000065,Customer 65,customer65@email.com,France,East,24/01/2023,Gold,1317.28
CUST000066,Customer 66,customer66@email.com,UK,South,26/01/2020,Platinum,218.28
CUST000067,Customer 67,customer67@email.com,UK,North,12/10/2020,Bronze,587.71
CUST000068,Customer 68,customer68@email.com,Germany,West,12/12/2025,Platinum,599.24
CUST000069,Customer 69,customer69@email.com,Japan,South,01/02/2025,Gold,760.47
CUST000070,Customer 70,customer70@email.com,Japan,Central,30/06/2023,Bronze,170.53
CUST000071,Customer 71,customer71@email.com,UK,South,03/08/2020,Bronze,729.08
CUST000072,Customer 72,customer72@email.com,France,West,30/11/2020,Platinum,1298.63
CUST000073,Customer 73,customer73@email.com,India,West,12/06/2025,Gold,199.03
CUST000074,Customer 74,customer74@email.com,Canada,East,01/06/2022,Platinum,235.6
CUST000075,Customer 75,customer75@email.com,France,Central,30/03/2021,Platinum,1877.09
CUST000076,Customer 76,customer76@email.com,France,North,28/11/2025,Silver,199.82
CUST000077,Customer 77,customer77@email.com,USA,North,06/06/2024,Silver,1063.39
CUST000078,Customer 78,customer78@email.com,Germany,South,19/05/2023,Gold,438.91
CUST000079,Customer 79,customer79@email.com,Japan,North,31/03/2023,Bronze,242
CUST000080,Customer 80,customer80@email.com,Australia,South,30/07/2025,Silver,1123
CUST000081,Customer 81,customer81@email.com,Germany,Central,06/04/2024,Gold,394.67
CUST000082,Customer 82,customer82@email.com,Australia,North,22/10/2020,Platinum,461.61
CUST000083,Customer 83,customer83@email.com,India,North,17/03/2020,Gold,322.54
CUST000084,Customer 84,customer84@email.com,Australia,Central,16/06/2026,Platinum,549.41
CUST000085,Customer 85,customer85@email.com,France,North,06/09/2024,Platinum,189.28
CUST000086,Customer 86,customer86@email.com,Japan,South,26/03/2020,Platinum,348.04
CUST000087,Customer 87,customer87@email.com,Canada,West,22/01/2024,Bronze,1843.58
CUST000088,Customer 88,customer88@email.com,Australia,Central,23/09/2022,Platinum,249.29
CUST000089,Customer 89,customer89@email.com,Canada,West,16/11/2025,Gold,634.63
CUST000090,Customer 90,customer90@email.com,Germany,East,22/10/2023,Silver,296.66
CUST000091,Customer 91,customer91@email.com,Canada,Central,08/11/2020,Silver,842.45
CUST000092,Customer 92,customer92@email.com,Japan,South,02/12/2023,Silver,170.13
CUST000093,Customer 93,customer93@email.com,UK,East,25/02/2021,Silver,1850.31
CUST000094,Customer 94,customer94@email.com,UK,North,11/12/2021,Silver,402.38
CUST000095,Customer 95,customer95@email.com,India,Central,16/07/2025,Platinum,234.63
CUST000096,Customer 96,customer96@email.com,Japan,East,01/05/2026,Silver,138.17
CUST000097,Customer 97,customer97@email.com,Canada,West,06/12/2024,Platinum,193.02
CUST000098,Customer 98,customer98@email.com,France,Central,25/05/2023,Bronze,466.75
CUST000099,Customer 99,customer99@email.com,Canada,East,12/12/2023,Platinum,305.49
CUST000100,Customer 100,customer100@email.com,USA,North,25/01/2025,Gold,982.7
CUST000101,Customer 101,customer101@email.com,Canada,North,21/03/2023,Platinum,381.84
CUST000102,Customer 102,customer102@email.com,USA,West,10/03/2025,Silver,242.98
CUST000103,Customer 103,customer103@email.com,India,Central,09/08/2023,Silver,580.05
CUST000104,Customer 104,customer104@email.com,India,North,10/09/2020,Gold,713.41
CUST000105,Customer 105,customer105@email.com,UK,North,11/12/2020,Silver,191.39
CUST000106,Customer 106,customer106@email.com,India,Central,28/11/2024,Silver,191.73
CUST000107,Customer 107,customer107@email.com,Japan,East,30/01/2024,Platinum,118.68
CUST000108,Customer 108,customer108@email.com,Japan,Central,01/08/2024,Bronze,766.67
CUST000109,Customer 109,customer109@email.com,Canada,East,02/10/2023,Bronze,645.03
CUST000110,Customer 110,customer110@email.com,Australia,East,04/04/2026,Gold,421.83
CUST000111,Customer 111,customer111@email.com,UK,East,04/10/2026,Bronze,1029.5
CUST000112,Customer 112,customer112@email.com,UK,East,14/07/2026,Gold,919.1
CUST000113,Customer 113,customer113@email.com,UK,Central,24/05/2024,Bronze,540.17
CUST000114,Customer 114,customer114@email.com,Australia,East,22/06/2023,Silver,1113.51
CUST000115,Customer 115,customer115@email.com,Canada,West,26/11/2025,Gold,215.24
CUST000116,Customer 116,customer116@email.com,Japan,East,15/03/2020,Silver,159.35
